"","ML2","ML5","ML1","ML6","ML3","ML4"
"PRE_ATT_SC_1",0.780480838397587,NA,NA,NA,NA,NA
"PRE_ATT_SC_4",0.797504221445631,NA,NA,NA,NA,NA
"PRE_ATT_SC_5",0.754930358155115,NA,NA,NA,NA,NA
"PRE_ANX.1_1",NA,0.666789523883593,NA,NA,NA,NA
"PRE_ANX.1_2",NA,0.815250107493359,NA,NA,NA,NA
"PRE_ANX.1_3",NA,0.517240249550833,NA,NA,NA,NA
"PRE_ANX.1_4",NA,0.612266558400829,NA,NA,NA,NA
"PRE_LK1",NA,NA,0.847872100062906,NA,NA,NA
"PRE_LK2",NA,NA,0.822902195969889,NA,NA,NA
"PRE_LK5",NA,NA,0.547069129731312,NA,NA,NA
"PRE_ATT_DL_1",NA,NA,NA,0.727960514287035,NA,NA
"PRE_ATT_DL_4",NA,NA,NA,0.690965505705328,NA,NA
"PRE_ATT_DL_5",NA,NA,NA,0.706786083764363,NA,NA
"PRE_WHYCS_3",NA,NA,NA,NA,0.431226070153616,NA
"PRE_WHYCS_5",NA,NA,NA,NA,0.833766933750195,NA
"PRE_WHYCS_6",NA,NA,NA,NA,0.682820089113288,NA
"PRE_DAILYM",NA,NA,NA,NA,NA,0.763741117040218
"PRE_DAILYG",NA,NA,NA,NA,NA,0.608699906294154
"PRE_FREQEN",NA,NA,NA,NA,NA,0.513510942143259
